[27-Jun-2017 19:35:53 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE), expecting '{' in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\plugins\rssfeeder\rssfeeder.php on line 49
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be passed by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-content\themes\blankslate\functions.php on line 62
[27-Jun-2017 19:38:33 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-includes\Requests\Transport\cURL.php on line 437
[27-Jun-2017 19:39:44 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\Users\jkiya_000\Desktop\rssfeed-wp\wp-includes\Requests\Transport\cURL.php on line 437
